capacity,failure_pct_change,routing_improvement_pct,price_of_priority_pct,found_divergent_route,failed_edge_betweenness,failed_edge_utilization
2000,0.04118470023368952,0.010524530669202201,0.032640565201935666,True,0.0008030908384109595,0.10958743592786391
2000,0.02239549503640266,0.0,0.011600586272383558,False,0.001454594761486911,0.12589103415929753
2000,0.0908255065628732,0.0,0.014414429710770497,False,0.004333254977627515,0.059746700388761516
2000,0.6773551860629534,0.022302338836899888,0.02917749884707854,True,0.004230413089055782,0.09400507890915337
2000,0.029860842216642862,0.010657282230271339,0.03260412106366507,True,0.0015567490799432706,0.10765791482096376
2000,0.1987555689022177,0.0,0.014963041195358056,False,0.001288593174162923,0.125727406479101
2000,4.005553161968875,0.007553831024253536,0.03169837565190891,True,0.03845545357830183,0.23715058233129258
2000,0.02731685926811431,0.0,0.015320892954627581,False,0.007073745669328017,0.1283786855340809
2000,0.20487743389280716,0.0,0.01153716524543929,False,0.0015809287532041292,0.125727406479101
2000,0.06720202640914068,0.0076359402497295035,0.11648991021102728,True,0.0005509893560477558,0.052901342268602845
2000,0.07898238427149103,0.0,0.015135653887390818,False,0.004666487168886361,0.1167468774448795
2000,1.210958285355902,0.0,0.014824931451806774,False,0.008470444772025267,0.10877189679721166
2000,0.0135306130989813,0.018989735898419426,0.0320381980298734,True,8.469537279161594e-05,0.07330513540521755
2000,0.0020393604372448628,0.05381280204952596,0.01946506825956335,True,0.0007072668399736162,0.1486904188295744
2000,0.16218468632238986,0.0,0.01501204335658125,False,0.0005183719772259974,0.3699452445539748
2000,0.0503980831172508,0.0077030614412016574,0.05526473224507259,True,0.00013249847568125322,0.1060044231558242
2000,0.16974676601072652,0.010378189078038674,0.027276514611689204,True,0.005995799396827156,0.33908296063477567
2000,0.06866470567895867,0.0,0.018388282679888145,False,0.0006163890762768984,0.37393653638369123
2000,0.040528230262618585,0.0,0.011847199520899994,False,0.00023670357908649726,0.09400507890915337
2000,0.09322028394547044,0.0,0.015013460966106302,False,0.0001528603491904438,0.125727406479101
